BoroCT2020,NTAName,NTA2020,GEOID,geometry_nyct,modzcta,label,zcta,pop_est,BoroCT2020_col
1000100,The Battery-Governors Island-Ellis Island-Liberty Island,MN0191,36061000100,"MULTIPOLYGON (((-74.04387748506441 40.69018734402989, -74.04350583114459 40.68968702769171, -74.04273520838433 40.69004985678837, -74.04278420301672 40.69012064256736, -74.04270415340167 40.69015487029789, -74.04255359015929 40.689962425393766, -74.04263916357999 40.68992784224985, -74.04269367782608 40.68999692546592, -74.04346739363251 40.68963665864966, -74.04351624437948 40.68919070252164, -74.043640659497 40.68876622971895, -74.04397445926685 40.68858207767797, -74.04438509156576 40.68851584949563, -74.044783864488 40.68859533245557, -74.04627526069063 40.68932710043667, -74.04680271748363 40.689952931094666, -74.04747638466561 40.68961104674753, -74.04772949596281 40.6899149958577, -74.04758558740976 40.689982183815566, -74.04743113001551 40.68980356686329, -74.04689192313845 40.69005877320119, -74.04720016053105 40.690424490677316, -74.04711037373734 40.690470087646595, -74.04711568658125 40.690655480675616, -74.04718307996447 40.69074702962978, -74.04719479092665 40.69076293843294, -74.04721311137486 40.690790161914144, -74.04722554985241 40.69081924701133, -74.04723179377366 40.69084946281845, -74.0472316862207 40.690880050013945, -74.04722522988772 40.6909102399422, -74.04721258701397 40.69093927392989, -74.04719407530771 40.690966422351615, -74.04717015996272 40.69099100296537, -74.04714077554952 40.69101019047721, -74.04710800551376 40.6910258825122, -74.04707256151612 40.691037738288415, -74.04703521328875 40.6910455003353, -74.04699677191881 40.691049000085236, -74.04617153570494 40.69109765338051, -74.04614693706657 40.691122317839785, -74.0460953756563 40.69111973524635, -74.04604428959559 40.69111382425446, -74.0459940490412 40.69110462769364, -74.04592579285752 40.69108227517559, -74.04586013955816 40.69105578785382, -74.04460603204511 40.69057315415153, -74.04387748506441 40.69018734402989)), ((-74.03995024444284 40.700890274001516, -74.0394524670164 40.700532803043416, -74.03938261896313 40.70057733755107, -74.0377110902657 40.699343681277085, -74.0380977052298 40.69903914753116, -74.03822938955904 40.698368235297984, -74.03900028357137 40.69836953577032, -74.03934022214644 40.69811516137792, -74.03993256520243 40.6985440700697, -74.04025539376296 40.698804470947934, -74.04124245856082 40.6995363903011, -74.041747529928 40.69914751417065, -74.03991233523028 40.697701688868875, -74.04166036887587 40.696452625932615, -74.0436735563221 40.69802006099877, -74.04363670605316 40.69804788924279, -74.04365635450564 40.698063747655326, -74.04270380005438 40.69880025390782, -74.04296489349046 40.698999015465766, -74.0410984496789 40.70049259053054, -74.04080064459825 40.700268196696, -74.04031234696372 40.70062539429406, -74.04028792522263 40.70064325848541, -74.03995024444284 40.700890274001516)))",10004,10004,10004,3028.0,1000100
1001401,Lower East Side,MN0302,36061001401,"POLYGON ((-73.98836609039734 40.71644519633841, -73.98753491260007 40.71619614421363, -73.9867212096803 40.715951743190224, -73.98586680231692 40.71569585057722, -73.98544001550366 40.71556669977252, -73.98501222489246 40.715437242017366, -73.9842583731582 40.715209067289514, -73.98333822416218 40.71493204795132, -73.98300038928525 40.714835166213945, -73.9824535513453 40.714697890913015, -73.98256765865763 40.71468425271008, -73.98311957277033 40.71461828734671, -73.98470669656355 40.71451155839736, -73.98534388127152 40.714461070437686, -73.98558488889049 40.71444189743136, -73.98567111408227 40.71443479066232, -73.98585421236488 40.7144196290545, -73.9871661150366 40.71431155311859, -73.98766673663958 40.71427031937751, -73.98840452328051 40.714209550665906, -73.98870174613351 40.71418504050029, -73.98933639788845 40.71413287669977, -73.99021995694912 40.71440444171681, -73.99022734031377 40.71449117119599, -73.9902213862937 40.71457825785498, -73.9902021893336 40.71466393161424, -73.98975401020753 40.71555184677425, -73.9891544636606 40.71670814153911, -73.98836609039734 40.71644519633841))",10002,10002,10002,74993.0,1001401
1001402,Lower East Side,MN0302,36061001402,"POLYGON ((-73.98507324703293 40.71908277552657, -73.98423156563167 40.71882691762491, -73.98339493187002 40.71856968577508, -73.98399524514002 40.71741390722257, -73.98403282264607 40.71733657574754, -73.98404873552055 40.71730382923381, -73.98410301084768 40.717192952059555, -73.98415501399484 40.717103132957874, -73.98417369054734 40.7170679740948, -73.98423329096829 40.716955780169464, -73.98453646184015 40.71639342715779, -73.98501222489246 40.715437242017366, -73.98544001550366 40.71556669977252, -73.98586680231692 40.71569585057722, -73.9867212096803 40.715951743190224, -73.98753491260007 40.71619614421363, -73.98836609039734 40.71644519633841, -73.98795164093039 40.71726511912053, -73.98791628501486 40.71733506486418, -73.98787918326066 40.71740846329781, -73.98752087926411 40.71805547428601, -73.98743388198496 40.718212568308935, -73.98739375506581 40.718303011223036, -73.98735997609548 40.718369284446446, -73.98675118822545 40.719592330215406, -73.98591074593296 40.71933845603651, -73.98507324703293 40.71908277552657))",10002,10002,10002,74993.0,1001402
1001800,Lower East Side,MN0302,36061001800,"POLYGON ((-73.98985435822911 40.7205198407025, -73.98971981591465 40.72047807204, -73.98958528521857 40.720436303221085, -73.98911330666996 40.720306909971434, -73.98835339776508 40.72007676286554, -73.98754177354188 40.71983184714438, -73.98675118822545 40.719592330215406, -73.98735997609548 40.718369284446446, -73.98739375506581 40.718303011223036, -73.98743388198496 40.718212568308935, -73.98752087926411 40.71805547428601, -73.98787918326066 40.71740846329781, -73.98791628501486 40.71733506486418, -73.98795164093039 40.71726511912053, -73.98836609039734 40.71644519633841, -73.9891544636606 40.71670814153911, -73.98995001532137 40.716971470801674, -73.99070272316895 40.71720010264928, -73.99117605319732 40.71734245743456, -73.99130397460719 40.71738117944098, -73.99142254757562 40.717417074083606, -73.99222046269666 40.717657945461134, -73.99309413883704 40.71792197856522, -73.99382767221705 40.71814397833649, -73.9948076036706 40.71845692887524, -73.99439847456699 40.71945660799852, -73.99423452030402 40.719851012966984, -73.99416786996505 40.720011343677356, -73.99407244185737 40.72024298764278, -73.99404136216263 40.72032047633531, -73.99383773022066 40.72083164413723, -73.99379574684379 40.72093703216949, -73.99352712032326 40.72163275404527, -73.9934586124593 40.721612053492436, -73.9927301694031 40.721394871538536, -73.99223687643821 40.721247784859415, -73.99150525565774 40.72102709043944, -73.99062901128194 40.72076539640691, -73.98985435822911 40.7205198407025))",10012,10012,10012,23411.0,1001800
1002201,Lower East Side,MN0302,36061002201,"POLYGON ((-73.97875218031935 40.71993317408709, -73.97878805232298 40.71986464319034, -73.97907435771263 40.719317615731185, -73.97941594225546 40.718664956839866, -73.97944730882861 40.71860361012225, -73.97949511348946 40.71851011266504, -73.97954026212723 40.718421808868094, -73.97956346032976 40.71837643949211, -73.97961033141677 40.718284768190365, -73.97963741144245 40.7182318014976, -73.97968405253975 40.71814058076921, -73.97970693153493 40.718095833834106, -73.97975398398476 40.718003805671394, -73.97977813870847 40.71795656397615, -73.97984868707704 40.71781858122856, -73.97987456316974 40.71776797035621, -73.97991624555391 40.71768644642527, -73.97993991911295 40.717640144432885, -73.97996548927806 40.71759013289483, -73.97998921826748 40.71753942344682, -73.9801963637564 40.71715591477962, -73.98025282551627 40.7170554895992, -73.98030141621021 40.71696553980079, -73.98039002414383 40.71680150660642, -73.98043861446747 40.71671155674706, -73.98054903664101 40.71650714088348, -73.98057717772444 40.71645504477389, -73.98143770346337 40.71671747932139, -73.9822886029681 40.71697529476064, -73.98310312973908 40.71718032949213, -73.98295287497606 40.71744675191904, -73.98290228329267 40.717536457773235, -73.98273535583077 40.71783243995612, -73.98269048758294 40.717911996989635, -73.98259615500633 40.718079258786275, -73.98255413909594 40.71815375539323, -73.98247730852468 40.71828998549173, -73.98339493187002 40.71856968577508, -73.98423156563167 40.71882691762491, -73.98507324703293 40.71908277552657, -73.98447713995273 40.720233716659926, -73.98386404737306 40.721395852933206, -73.98382369274127 40.721472346116016, -73.98300290850827 40.721222154065025, -73.98216597590564 40.720968326675134, -73.98130806747965 40.72070825642451, -73.98008041762442 40.72033880919854, -73.97966004577465 40.7202122983232, -73.97875218031935 40.71993317408709))",10009,10009,10009,57925.0,1002201
1002602,East Village,MN0303,36061002602,"POLYGON ((-73.97559304967697 40.724282982927384, -73.97592815261005 40.7238317049688, -73.9759678324674 40.72377826807177, -73.97603269300821 40.72369092124548, -73.97609373373005 40.723606880383954, -73.9761898694151 40.72347452116052, -73.97626208917742 40.72337508938025, -73.97642197053759 40.723154963243225, -73.97647806533031 40.72307773210159, -73.97679182145845 40.7226379667691, -73.97689212949628 40.72249669672786, -73.97820636238461 40.72305160893767, -73.97827534271264 40.72308072914603, -73.97833967495727 40.72310788703076, -73.97840866773119 40.723137012019635, -73.97846819517437 40.72316214269032, -73.97852920746577 40.72318789831582, -73.97859460838615 40.72321550690497, -73.97865758664456 40.723242093427295, -73.97872409445054 40.723270170386236, -73.97878681807866 40.72329664974075, -73.978843741448 40.72332067858101, -73.97890388987155 40.72334607098482, -73.97896893178859 40.72337352785043, -73.97902919919878 40.72339896845818, -73.97908942394204 40.723424392106246, -73.97915119717449 40.72345046868888, -73.97927990277363 40.723504801541004, -73.97966774179147 40.723667435336715, -73.97972312047075 40.723690656490675, -73.97978340501983 40.72371593537767, -73.9798399007035 40.72373962557985, -73.97989416191722 40.723762378719876, -73.98076792467549 40.72412876458116, -73.98084803527867 40.724162368464235, -73.98163116734075 40.72449085928339, -73.98121110967311 40.72507226135043, -73.98075755945729 40.72567706831906, -73.98060749467668 40.725890004807894, -73.9805279090253 40.72600293444135, -73.98033279390035 40.726279793061266, -73.97797680458942 40.725287678360885, -73.97707738970955 40.724908606257074, -73.97628168675179 40.72457323523456, -73.97559304967697 40.724282982927384))",10009,10009,10009,57925.0,1002602
1002800,East Village,MN0303,36061002800,"POLYGON ((-73.97329778546433 40.7274274493367, -73.97379971306181 40.72675074084554, -73.9742692490335 40.726108299192695, -73.97440212355288 40.72592542384732, -73.97444010919072 40.72587314321074, -73.9744958166063 40.725796474524174, -73.97462450907062 40.72561935636204, -73.97468160143701 40.725540780771354, -73.97473010735865 40.72547402323758, -73.97493740204546 40.72518871416233, -73.97503267754988 40.725057582036705, -73.97516399222779 40.72487684743694, -73.9754590786461 40.72446841657334, -73.9755377314983 40.72435955072272, -73.97559304967697 40.724282982927384, -73.97628168675179 40.72457323523456, -73.97707738970955 40.724908606257074, -73.97797680458942 40.725287678360885, -73.98033279390035 40.726279793061266, -73.98016949582612 40.72650395428725, -73.97990631291438 40.7268652276748, -73.97946894046626 40.72746713005043, -73.97899842905971 40.72810519704877, -73.97853563701283 40.728745533504636, -73.97805523566367 40.72938253188922, -73.97802678571725 40.72943250501026, -73.9775382457508 40.72922569330958, -73.97690417266368 40.728957268505745, -73.97619613491521 40.72866142050964, -73.97581226053899 40.72851921065837, -73.97566763801905 40.72846197538573, -73.97329778546433 40.7274274493367))",10009,10009,10009,57925.0,1002800
1003400,East Village,MN0303,36061003400,"POLYGON ((-73.97802678571725 40.72943250501026, -73.97805523566367 40.72938253188922, -73.97853563701283 40.728745533504636, -73.97899842905971 40.72810519704877, -73.97946894046626 40.72746713005043, -73.97990631291438 40.7268652276748, -73.98222794391839 40.72784535653922, -73.98265697908346 40.72725994880883, -73.98362589765179 40.72766344959606, -73.98385507894582 40.72775888945426, -73.98446839616314 40.728014292748924, -73.98453259507669 40.72804102597547, -73.98485743166658 40.728176295476445, -73.98443141396534 40.72876789781953, -73.98399713702796 40.72936914186007, -73.98353572264483 40.73000718344719, -73.98306926604302 40.730654678730154, -73.98255608812923 40.731349584700354, -73.98246855816119 40.73131433478318, -73.98190891174343 40.731094577736805, -73.98166636756969 40.730997996738864, -73.98033987614646 40.73044190913156, -73.97992090127686 40.73026165253116, -73.97910784246491 40.7299100054682, -73.97802678571725 40.72943250501026))",10003,10003,10003,54682.0,1003400
1003601,Lower East Side,MN0302,36061003601,"POLYGON ((-73.98863843805843 40.7229332000686, -73.98868670978844 40.722856799151835, -73.98894800471062 40.72214287500009, -73.98898541883258 40.72204064869225, -73.98913044805583 40.72164438190894, -73.98922987665456 40.7216765747769, -73.98985435822911 40.7205198407025, -73.99062901128194 40.72076539640691, -73.99150525565774 40.72102709043944, -73.99223687643821 40.721247784859415, -73.9927301694031 40.721394871538536, -73.9934586124593 40.721612053492436, -73.99352712032326 40.72163275404527, -73.99336162139787 40.722079509228266, -73.99333897862464 40.72214063138865, -73.99325996701788 40.72235391688046, -73.99309170631555 40.722819574136075, -73.9926323515479 40.72405635035364, -73.99260302381522 40.724135935158166, -73.99253179059085 40.724114051982006, -73.99219841469136 40.72401209362806, -73.99135453183372 40.723754103440235, -73.9912728756226 40.72372929718845, -73.99102390915323 40.72364891617273, -73.99027342259676 40.723425500738124, -73.98939198964173 40.72317354026096, -73.98875664192443 40.72296984657082, -73.98863843805843 40.7229332000686))",10003,10003,10003,54682.0,1003601
1003602,East Village,MN0303,36061003602,"POLYGON ((-73.98749085343108 40.72457323761229, -73.98797037710516 40.72391436212963, -73.98813170916814 40.723684581946685, -73.98817191250065 40.72362731962217, -73.98843028979671 40.723259317429985, -73.98859482454785 40.72299645882348, -73.98863843805843 40.7229332000686, -73.98875664192443 40.72296984657082, -73.98939198964173 40.72317354026096, -73.99027342259676 40.723425500738124, -73.99102390915323 40.72364891617273, -73.9912728756226 40.72372929718845, -73.99135453183372 40.723754103440235, -73.99219841469136 40.72401209362806, -73.99253179059085 40.724114051982006, -73.99260302381522 40.724135935158166, -73.99257967499396 40.724201040211845, -73.99232747906447 40.724905580667205, -73.99221496488225 40.725232078018635, -73.99206088328992 40.7256440954941, -73.99179375840558 40.72639127438573, -73.99172765773015 40.72636320987673, -73.98986936477743 40.72558164853464, -73.98749085343108 40.72457323761229))",10012,10012,10012,23411.0,1003602
