ct_dropoff,n_pooled,shared_ride_ids,avg_trip_distance,avg_fare_amount,avg_trip_time_in_secs,total_passengers,n_shared_rides,pooled_fraction,period_id
1000700,1,"[[278877, 2473557]]",1.725,7.0,383.5,4,2,0.008695652173913044,0_00_
1001502,1,"[[309178, 282240]]",2.5999999999999996,10.25,690.0,2,2,0.008695652173913044,0_00_
1002202,1,"[[1794184, 283270]]",0.645,5.0,261.0,3,2,0.008695652173913044,0_00_
1002601,1,"[[2821544, 1071714]]",1.6,8.5,611.0,4,2,0.008695652173913044,0_00_
1003200,1,"[[279186, 1078578]]",2.935,12.5,797.0,2,2,0.008695652173913044,0_00_
1003601,1,"[[2473525, 1800646]]",3.05,13.25,911.5,2,2,0.008695652173913044,0_00_
1003602,1,"[[2821496, 2821498]]",1.05,6.75,417.5,3,2,0.008695652173913044,0_00_
1003700,5,"[[2821454, 1057711], [321428, 1804289], [293240, 286303], [283269, 1078914], [278960, 1808484]]",1.2029999999999998,7.05,436.7,20,10,0.043478260869565216,0_00_
1003800,2,"[[284008, 1079102], [280668, 1800159]]",0.7124999999999999,5.125,287.5,4,4,0.017391304347826087,0_00_
1004100,2,"[[293957, 311786], [1799610, 2821477]]",0.74,4.875,241.25,5,4,0.017391304347826087,0_00_
1004200,1,"[[280480, 1086220]]",1.6,8.5,577.0,7,2,0.008695652173913044,0_00_
1004400,3,"[[312196, 835251], [292349, 1798938], [2473709, 279448]]",1.5599999999999998,7.5,442.3333333333333,12,6,0.02608695652173913,0_00_
1004500,1,"[[1846926, 311785]]",0.9450000000000001,6.0,338.5,6,2,0.008695652173913044,0_00_
1004800,1,"[[279330, 279013]]",0.79,5.0,240.0,2,2,0.008695652173913044,0_00_
1005400,3,"[[1080196, 280311], [1805498, 1847294], [1798894, 292083]]",2.3816666666666664,10.083333333333334,609.5,8,6,0.02608695652173913,0_00_
1005502,1,"[[324170, 1847053]]",2.035,9.25,541.5,4,2,0.008695652173913044,0_00_
1005600,1,"[[286532, 1821443]]",0.855,5.75,295.0,3,2,0.008695652173913044,0_00_
1006300,2,"[[2473518, 1078370], [1793018, 280731]]",1.44,7.125,423.5,5,4,0.017391304347826087,0_00_
1006500,3,"[[1078539, 1863201], [291945, 2821503], [280590, 1078596]]",1.4316666666666666,7.25,434.8333333333333,10,6,0.02608695652173913,0_00_
1006600,1,"[[1086000, 284067]]",1.71,7.75,465.0,7,2,0.008695652173913044,0_00_
1006700,1,"[[2821434, 283000]]",1.6099999999999999,9.5,718.0,6,2,0.008695652173913044,0_00_
1006800,3,"[[2821523, 2473494], [1095320, 1846601], [280708, 1804348]]",1.2750000000000001,7.333333333333333,446.8333333333333,8,6,0.02608695652173913,0_00_
1007001,1,"[[1077347, 1793269]]",1.5499999999999998,9.25,700.5,3,2,0.008695652173913044,0_00_
1007100,1,"[[278857, 1056019]]",1.105,6.5,381.5,5,2,0.008695652173913044,0_00_
1007400,3,"[[317558, 1846192], [1800592, 1057137], [1801186, 286528]]",1.285,6.75,381.1666666666667,9,6,0.02608695652173913,0_00_
1007600,2,"[[278816, 282041], [283512, 1799395]]",1.0525,5.5,285.5,4,4,0.017391304347826087,0_00_
1007700,2,"[[311405, 1086244], [1079508, 282960, 283355]]",1.2475,6.875,376.08333333333337,12,5,0.017391304347826087,0_00_
1007800,1,"[[1095322, 1056835]]",1.0,6.5,394.5,2,2,0.008695652173913044,0_00_
1008100,1,"[[1054661, 1799653]]",1.85,7.75,409.0,3,2,0.008695652173913044,0_00_
