ct_pickup,n_pooled,shared_ride_ids,avg_trip_distance,avg_fare_amount,avg_trip_time_in_secs,total_passengers,n_shared_rides,pooled_fraction,period_id
1001600,3,"[[2821454, 1057711], [1054661, 1799653], [310170, 2821550]]",1.6066666666666667,7.833333333333333,469.5,10,6,0.02608695652173913,0_00_
1001800,2,"[[284008, 1079102], [291945, 2821503]]",0.905,5.875,355.75,4,4,0.017391304347826087,0_00_
1003001,3,"[[321428, 1804289], [312196, 835251], [2473542, 2821432]]",1.5050000000000001,7.916666666666667,490.3333333333333,17,6,0.02608695652173913,0_00_
1003002,2,"[[1846926, 311785], [279330, 279013]]",0.8675,5.5,289.25,8,4,0.017391304347826087,0_00_
1003200,1,"[[2821434, 283000]]",1.6099999999999999,9.5,718.0,6,2,0.008695652173913044,0_00_
1003601,3,"[[283269, 1078914], [1078539, 1863201], [1794184, 283270]]",0.8949999999999999,6.0,353.0,7,6,0.02608695652173913,0_00_
1003602,2,"[[328218, 286309], [2473709, 279448]]",1.6124999999999998,8.0,489.5,5,4,0.017391304347826087,0_00_
1003700,2,"[[2473518, 1078370], [311405, 1086244]]",1.2525,6.375,337.5,8,4,0.017391304347826087,0_00_
1003800,2,"[[280668, 1800159], [1793018, 280731]]",1.03,6.125,361.0,5,4,0.017391304347826087,0_00_
1004002,1,"[[280693, 1800649]]",1.75,8.0,444.5,3,2,0.008695652173913044,0_00_
1004300,1,"[[1799610, 2821477]]",0.6499999999999999,5.0,242.5,3,2,0.008695652173913044,0_00_
1004700,2,"[[2821496, 2821498], [278877, 2473557]]",1.3875000000000002,6.875,400.5,7,4,0.017391304347826087,0_00_
1004900,1,"[[1079508, 282960, 283355]]",1.4900000000000002,8.0,477.6666666666667,6,3,0.008695652173913044,0_00_
1005000,1,"[[1798909, 1077556]]",1.25,7.0,428.0,2,2,0.008695652173913044,0_00_
1005400,1,"[[1804612, 1799411]]",0.65,4.0,136.0,2,2,0.008695652173913044,0_00_
1005600,1,"[[284033, 283243]]",0.7150000000000001,5.0,210.0,4,2,0.008695652173913044,0_00_
1005700,2,"[[293957, 311786], [278857, 1056019]]",0.9675,5.625,310.75,7,4,0.017391304347826087,0_00_
1006100,1,"[[293240, 286303]]",1.16,6.25,330.0,2,2,0.008695652173913044,0_00_
1006200,1,"[[280708, 1804348]]",0.675,5.0,223.5,4,2,0.008695652173913044,0_00_
1006500,1,"[[2821544, 1071714]]",1.6,8.5,611.0,4,2,0.008695652173913044,0_00_
1006700,1,"[[316830, 285946]]",2.605,9.5,540.0,2,2,0.008695652173913044,0_00_
1006800,2,"[[1804014, 1805086], [1080196, 280311]]",0.84,5.375,278.5,7,4,0.017391304347826087,0_00_
1007002,1,"[[317558, 1846192]]",1.09,6.25,360.0,2,2,0.008695652173913044,0_00_
1007100,1,"[[278816, 282041]]",1.52,6.75,390.0,2,2,0.008695652173913044,0_00_
1007200,2,"[[282316, 1054377], [285175, 1803471]]",1.105,6.375,370.0,6,4,0.017391304347826087,0_00_
1007300,1,"[[278960, 1808484]]",0.765,5.0,267.0,5,2,0.008695652173913044,0_00_
1007400,2,"[[1078381, 1808490], [278886, 2819710]]",1.5725,7.625,458.5,9,4,0.017391304347826087,0_00_
1007500,1,"[[280840, 1800589]]",2.76,10.75,617.0,4,2,0.008695652173913044,0_00_
1007600,1,"[[1798456, 1799638]]",1.05,6.5,382.5,2,2,0.008695652173913044,0_00_
1007700,1,"[[1801186, 286528]]",1.315,6.75,376.0,4,2,0.008695652173913044,0_00_
1007900,4,"[[280480, 1086220], [294264, 1054663], [309178, 282240], [292291, 2821593]]",2.57125,10.375,666.875,18,8,0.034782608695652174,0_00_
1008000,2,"[[328380, 1086188], [1078682, 2473505]]",1.75,8.5,525.75,5,4,0.017391304347826087,0_00_
1008200,1,"[[294923, 286494]]",1.2149999999999999,6.75,390.0,2,2,0.008695652173913044,0_00_
1008300,1,"[[294520, 318375]]",1.58,7.0,420.0,2,2,0.008695652173913044,0_00_
1008800,1,"[[324170, 1847053]]",2.035,9.25,541.5,4,2,0.008695652173913044,0_00_
1009100,1,"[[154615, 1056108]]",1.6,7.75,486.5,4,2,0.008695652173913044,0_00_
