ct_pickup,n_rides,avg_fare_amount,avg_trip_distance,avg_trip_time_in_secs,total_passengers,period_id
1000700,2,11.75,2.66,786.0,8,0_00_
1000800,2,15.0,3.8800000000000003,900.0,2,0_00_
1001300,1,9.0,1.96,600.0,5,0_00_
1001401,1,6.5,1.1,341.0,1,0_00_
1001600,4,8.5,1.8525,518.0,6,0_00_
1001800,12,7.958333333333333,1.6391666666666664,481.6666666666667,17,0_00_
1002100,4,5.375,0.9025000000000001,291.5,10,0_00_
1002400,1,6.5,1.1,358.0,1,0_00_
1002602,2,4.5,0.645,202.0,6,0_00_
1002800,1,8.0,1.6,506.0,2,0_00_
1002902,1,9.0,1.5,675.0,1,0_00_
1003001,14,8.142857142857142,1.5214285714285716,519.7142857142857,30,0_00_
1003002,4,7.375,1.5175,426.25,8,0_00_
1003100,2,12.0,2.98,819.0,8,0_00_
1003200,11,9.454545454545455,2.099090909090909,613.3636363636364,25,0_00_
1003300,5,10.1,2.448,603.0,10,0_00_
1003400,4,8.125,1.6724999999999999,493.5,4,0_00_
1003601,7,6.714285714285714,1.182857142857143,413.85714285714283,8,0_00_
1003602,7,8.0,1.58,486.57142857142856,8,0_00_
1003700,5,6.2,1.122,333.0,13,0_00_
1003800,16,6.84375,1.4,381.25,22,0_00_
1003900,3,7.0,1.3466666666666667,420.0,3,0_00_
1004001,9,8.555555555555555,1.7733333333333334,542.5555555555555,14,0_00_
1004002,2,7.5,1.46,450.0,6,0_00_
1004100,12,7.875,1.5675,466.5833333333333,20,0_00_
1004200,3,6.333333333333333,1.0999999999999999,342.0,4,0_00_
1004300,4,6.75,1.2225,407.75,11,0_00_
1004400,2,7.0,1.4,368.0,3,0_00_
1004500,4,9.875,2.2875,604.25,10,0_00_
1004700,9,6.944444444444445,1.4733333333333334,391.44444444444446,12,0_00_
1004800,4,8.0,1.75,444.0,4,0_00_
1004900,6,9.25,2.185,539.0,11,0_00_
1005000,7,6.785714285714286,1.2871428571428571,369.85714285714283,14,0_00_
1005200,7,8.071428571428571,1.6214285714285717,506.14285714285717,20,0_00_
1005400,8,6.6875,1.40125,390.125,10,0_00_
1005501,2,5.75,0.9550000000000001,278.5,2,0_00_
1005502,8,7.9375,1.62625,475.375,10,0_00_
1005600,8,7.6875,1.51125,440.625,15,0_00_
1005700,5,9.2,2.122,544.0,10,0_00_
1005800,6,5.25,0.785,248.0,12,0_00_
1006100,6,7.083333333333333,1.3683333333333332,424.1666666666667,16,0_00_
1006200,5,6.1,1.116,324.2,12,0_00_
1006300,6,7.5,1.5883333333333336,424.1666666666667,8,0_00_
1006400,4,7.75,1.655,445.5,5,0_00_
1006500,11,10.545454545454545,2.51,671.3636363636364,21,0_00_
1006600,5,7.1,1.3820000000000001,413.2,8,0_00_
1006700,4,8.0,1.79,477.25,4,0_00_
1006800,11,6.909090909090909,1.3490909090909091,363.6363636363636,16,0_00_
1007001,2,9.75,2.27,580.0,3,0_00_
1007002,6,7.25,1.4633333333333332,397.5,9,0_00_
1007100,3,8.333333333333334,2.0966666666666667,463.0,5,0_00_
1007200,10,6.05,1.0710000000000002,334.2,13,0_00_
1007300,15,8.833333333333334,1.9766666666666668,522.6666666666666,26,0_00_
1007400,4,6.25,1.1375,347.75,8,0_00_
1007500,5,8.3,1.746,526.8,8,0_00_
1007600,10,8.9,1.8539999999999999,542.5,19,0_00_
1007700,3,8.666666666666666,1.7666666666666666,560.3333333333334,6,0_00_
1007800,4,7.25,1.325,440.5,6,0_00_
1007900,22,10.318181818181818,2.4895454545454547,664.4090909090909,40,0_00_
1008000,10,8.6,1.9300000000000002,519.5,18,0_00_
1008100,2,14.25,3.9000000000000004,896.5,3,0_00_
1008200,5,6.6,1.168,405.2,14,0_00_
1008300,13,7.230769230769231,1.5684615384615386,407.15384615384613,28,0_00_
1008400,4,11.25,2.3375,747.5,16,0_00_
1008603,1,9.0,1.83,600.0,1,0_00_
1008700,3,6.5,1.4400000000000002,326.0,3,0_00_
1008800,9,10.555555555555555,2.473333333333333,658.2222222222222,20,0_00_
1008900,1,11.5,2.5,791.0,1,0_00_
1009000,4,10.125,2.225,632.0,5,0_00_
1009100,8,6.8125,1.365,386.375,10,0_00_
1009200,22,7.363636363636363,1.5381818181818183,416.22727272727275,44,0_00_
1009300,3,7.333333333333333,1.3,440.6666666666667,3,0_00_
1009400,2,8.0,1.825,420.0,2,0_00_
1009500,6,10.083333333333334,2.4883333333333333,596.6666666666666,7,0_00_
1009600,7,5.285714285714286,0.9157142857142857,279.14285714285717,10,0_00_
1009700,2,7.75,1.54,487.5,4,0_00_
1009800,5,7.6,1.56,438.0,14,0_00_
1009901,1,10.0,1.9,815.0,1,0_00_
1009902,7,8.0,1.7457142857142858,472.0,8,0_00_
1010000,4,6.125,1.04,345.25,7,0_00_
1010100,57,10.909298245614035,2.2259649122807015,621.1052631578947,92,0_00_
