,n_clusters,n_noise,avg_size,max_size,sample_size,percent_clustered,aggregated_rides,aggregated_vehicles,aggregated rides/clustered rides,aggregated rides/all rides,aggregated_rate/all_rides
0_00_,146,154,2.910958904,9,579,73.40241796,98,45,0.230588235,0.16925734,0.000292327
0_01_,69,62,3.144927536,11,279,77.77777778,51,25,0.235023041,0.182795699,0.000655182
0_02_,43,56,3.069767442,7,188,70.21276596,14,7,0.106060606,0.074468085,0.000396107
0_03_,39,38,2.820512821,5,148,74.32432432,10,5,0.090909091,0.067567568,0.000456538
0_04_,40,22,3.075,18,145,84.82758621,10,5,0.081300813,0.068965517,0.000475624
0_05_,21,24,3.333333333,7,94,74.46808511,0,0,0,0,0
0_06_,19,17,3.157894737,9,77,77.92207792,6,3,0.1,0.077922078,0.001011975
0_07_,19,20,2.789473684,6,73,72.60273973,10,5,0.188679245,0.136986301,0.001876525
0_08_,13,19,3.615384615,7,66,71.21212121,6,3,0.127659574,0.090909091,0.00137741
0_09_,7,11,5,10,46,76.08695652,2,1,0.057142857,0.043478261,0.00094518
0_10_,20,14,2.85,6,71,80.28169014,5,2,0.087719298,0.070422535,0.000991867
0_11_,43,45,2.813953488,11,166,72.89156627,27,13,0.223140496,0.162650602,0.000979823
0_12_,83,114,2.78313253,7,345,66.95652174,90,42,0.38961039,0.260869565,0.000756144
0_13_,193,217,2.92746114,8,782,72.25063939,243,113,0.430088496,0.310741688,0.000397368
0_14_,254,263,2.901574803,11,1000,73.7,320,148,0.434192673,0.32,0.00032
0_15_,248,273,2.931451613,10,1000,72.7,286,132,0.393397524,0.286,0.000286
0_16_,270,275,2.685185185,7,1000,72.5,289,137,0.39862069,0.289,0.000289
0_17_,262,255,2.84351145,8,1000,74.5,238,115,0.319463087,0.238,0.000238
0_18_,257,263,2.86770428,8,1000,73.7,282,134,0.382632293,0.282,0.000282
0_19_,248,275,2.923387097,13,1000,72.5,270,128,0.372413793,0.27,0.00027
0_20_,245,284,2.92244898,11,1000,71.6,286,137,0.399441341,0.286,0.000286
0_21_,260,267,2.819230769,10,1000,73.3,266,128,0.362892224,0.266,0.000266
0_22_,261,266,2.812260536,13,1000,73.4,269,128,0.366485014,0.269,0.000269
0_23_,260,258,2.853846154,14,1000,74.2,266,129,0.358490566,0.266,0.000266
0_24_,261,277,2.770114943,11,1000,72.3,250,121,0.345781466,0.25,0.00025
0_25_,247,288,2.882591093,8,1000,71.2,241,117,0.338483146,0.241,0.000241
0_26_,265,249,2.833962264,9,1000,75.1,252,120,0.335552597,0.252,0.000252
0_27_,243,278,2.971193416,14,1000,72.2,236,112,0.326869806,0.236,0.000236
0_28_,247,271,2.951417004,10,1000,72.9,245,116,0.336076818,0.245,0.000245
0_29_,266,261,2.778195489,9,1000,73.9,249,119,0.336941813,0.249,0.000249
0_30_,248,297,2.834677419,9,1000,70.3,230,111,0.327169275,0.23,0.00023
0_31_,261,241,2.908045977,10,1000,75.9,264,128,0.347826087,0.264,0.000264
0_32_,248,257,2.995967742,10,1000,74.3,281,130,0.378196501,0.281,0.000281
0_33_,252,290,2.817460317,9,1000,71,212,100,0.298591549,0.212,0.000212
