,n_clusters,n_noise,avg_size,max_size,sample_size,percent_clustered,aggregated_rides,aggregated_vehicles
0_00_,231,256,2.948051948051948,18,937,72.67876200640342,236,115
0_01_,113,125,2.9026548672566372,9,453,72.40618101545253,78,37
0_02_,78,98,2.858974358974359,6,321,69.47040498442368,49,24
0_03_,64,66,2.96875,7,256,74.21875,30,15
0_04_,58,53,2.8793103448275863,6,220,75.9090909090909,16,8
0_05_,44,37,3.4318181818181817,8,188,80.31914893617021,20,10
0_06_,25,33,3.28,7,115,71.30434782608695,11,5
0_07_,23,30,3.5652173913043477,8,112,73.21428571428571,15,7
0_08_,20,22,3.35,5,89,75.28089887640449,11,5
0_09_,20,25,2.95,6,84,70.23809523809524,6,3
0_10_,27,25,3.185185185185185,9,111,77.47747747747748,9,4
0_11_,57,93,3.3333333333333335,8,283,67.13780918727915,51,25
0_12_,134,162,2.970149253731343,9,560,71.07142857142857,179,78
0_13_,315,361,2.749206349206349,10,1227,70.57864710676446,439,201
0_14_,472,519,2.809322033898305,12,1845,71.869918699187,718,328
0_15_,654,711,2.802752293577982,13,2544,72.05188679245283,1001,449
0_16_,644,646,2.9580745341614905,14,2551,74.6765974127793,1005,460
0_17_,605,595,2.9454545454545453,11,2377,74.96844762305427,891,412
0_18_,539,579,2.8274582560296846,15,2103,72.4679029957204,690,327
0_19_,536,547,2.888059701492537,10,2095,73.89021479713604,719,336
0_20_,477,478,2.9454926624737947,11,1883,74.61497610196496,617,286
0_21_,510,521,2.8333333333333335,9,1966,73.49949135300102,612,282
0_22_,453,421,2.883002207505519,12,1727,75.62246670526925,546,262
0_23_,465,499,2.9956989247311827,12,1892,73.62579281183932,638,298
0_24_,477,527,2.859538784067086,9,1891,72.1311475409836,640,299
0_25_,486,520,2.788065843621399,14,1875,72.26666666666667,627,297
0_26_,463,447,2.853131749460043,11,1768,74.71719457013575,570,268
0_27_,510,524,2.8254901960784315,15,1965,73.33333333333333,641,301
0_28_,523,526,2.898661567877629,14,2042,74.2409402546523,664,308
0_29_,585,592,2.904273504273504,17,2291,74.15975556525535,844,387
0_30_,556,651,2.9190647482014387,13,2274,71.37203166226912,747,352
0_31_,531,545,2.9359698681732582,13,2104,74.09695817490494,687,320
0_32_,500,505,2.85,10,1930,73.83419689119171,643,301
0_33_,476,479,2.8823529411764706,16,1851,74.12209616423554,610,287
0_34_,626,645,3.0079872204472844,13,2528,74.48575949367088,895,422
0_35_,766,729,2.9073107049608353,13,2956,75.3382949932341,1092,517
0_36_,712,700,2.893258426966292,11,2760,74.6376811594203,924,433
0_37_,727,686,2.861072902338377,15,2766,75.19884309472162,966,454
0_38_,738,816,2.8956639566395665,14,2953,72.36708432102947,1116,518
0_39_,675,637,2.9762962962962964,12,2646,75.92592592592592,981,457
0_40_,633,637,2.9794628751974725,15,2523,74.75227903289735,924,430
0_41_,565,551,2.992920353982301,9,2242,75.42372881355932,722,343
0_42_,568,492,2.9630281690140845,13,2175,77.37931034482759,766,361
0_43_,546,506,2.970695970695971,13,2128,76.2218045112782,789,374
0_44_,471,445,2.917197452229299,9,1819,75.53600879604178,560,270
0_45_,417,432,2.894484412470024,12,1639,73.64246491763271,496,236
0_46_,337,334,2.9317507418397626,12,1322,74.73524962178517,402,192
0_47_,260,252,2.953846153846154,10,1020,75.29411764705883,279,134
1_00_,201,203,2.845771144278607,10,775,73.80645161290323,192,93
